Coleta,Dia,Vaso,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
dia 11 - Soja Heterodera Vaso 6,11,6,6778,13921,485,3087,19895,12695,0
dia 11 - Soja Heterodera Vaso 6,11,6,6779,13921,483,3087,19885,12696,0
dia 11 - Soja Heterodera Vaso 6,11,6,6786,13945,484,3088,19898,12696,0
dia 11 - Soja Heterodera Vaso 6,11,6,6784,13991,482,3086,19874,12697,0
dia 11 - Soja Heterodera Vaso 6,11,6,6724,13556,478,3081,20011,12696,0
dia 11 - Soja Heterodera Vaso 6,11,6,6731,13543,480,3084,19981,12695,0
dia 11 - Soja Heterodera Vaso 6,11,6,6720,13554,478,3084,20024,12694,0
dia 11 - Soja Heterodera Vaso 6,11,6,6725,13532,478,3083,20033,12696,0
dia 11 - Soja Heterodera Vaso 6,11,6,6729,13572,479,3084,20022,12697,0
dia 11 - Soja Heterodera Vaso 6,11,6,6748,13578,480,3085,20024,12697,0
dia 11 - Soja Heterodera Vaso 6,11,6,6727,13597,480,3084,19992,12695,0
dia 11 - Soja Heterodera Vaso 6,11,6,6729,13527,477,3082,20015,12694,0
dia 11 - Soja Heterodera Vaso 6,11,6,6721,13532,478,3082,20028,12694,0
dia 11 - Soja Heterodera Vaso 6,11,6,6714,13374,476,3081,20068,12677,0
dia 11 - Soja Heterodera Vaso 6,11,6,6709,13377,476,3080,20090,12695,0
dia 11 - Soja Heterodera Vaso 6,11,6,6725,13517,477,3083,20044,12694,0
dia 11 - Soja Heterodera Vaso 6,11,6,6728,13541,478,3085,20013,12693,0
dia 11 - Soja Heterodera Vaso 6,11,6,6752,13753,481,3085,19965,12694,0
dia 11 - Soja Heterodera Vaso 6,11,6,6764,13840,482,3088,19965,12693,0
dia 11 - Soja Heterodera Vaso 6,11,6,6762,13797,481,3088,19957,12695,0
dia 11 - Soja Heterodera Vaso 6,11,6,6754,13822,480,3087,19975,12694,0
dia 11 - Soja Heterodera Vaso 6,11,6,6753,13826,481,3088,19948,12694,0
dia 11 - Soja Heterodera Vaso 6,11,6,6761,13737,482,3089,19986,12694,0
dia 11 - Soja Heterodera Vaso 6,11,6,6771,13806,481,3088,19926,12693,0
dia 11 - Soja Heterodera Vaso 6,11,6,6774,13838,482,3088,19961,12692,0
dia 11 - Soja Heterodera Vaso 6,11,6,6771,13780,481,3087,19950,12693,0
dia 11 - Soja Heterodera Vaso 6,11,6,6780,13817,482,3088,19945,12689,0
dia 11 - Soja Heterodera Vaso 6,11,6,6773,13868,482,3091,19929,12688,0
dia 11 - Soja Heterodera Vaso 6,11,6,6778,13823,482,3091,19955,12687,0
dia 11 - Soja Heterodera Vaso 6,11,6,6780,13813,483,3091,19967,12684,0
dia 11 - Soja Heterodera Vaso 6,11,6,6742,13635,478,3085,20040,12685,0
dia 11 - Soja Heterodera Vaso 6,11,6,6755,13661,481,3088,20000,12684,0
dia 11 - Soja Heterodera Vaso 6,11,6,6745,13609,479,3088,20028,12686,0
dia 11 - Soja Heterodera Vaso 6,11,6,6750,13706,479,3088,19996,12685,0
dia 11 - Soja Heterodera Vaso 6,11,6,6785,13797,481,3089,19978,12684,0
dia 11 - Soja Heterodera Vaso 6,11,6,6761,13768,479,3088,19955,12682,0
dia 11 - Soja Heterodera Vaso 6,11,6,6764,13777,480,3088,19970,12681,0
dia 11 - Soja Heterodera Vaso 6,11,6,6756,13694,481,3090,19969,12679,0
dia 11 - Soja Heterodera Vaso 6,11,6,6784,13882,482,3090,19941,12679,0
dia 11 - Soja Heterodera Vaso 6,11,6,6784,13877,483,3092,19949,12678,0
dia 11 - Soja Heterodera Vaso 6,11,6,6754,13732,481,3089,19947,12675,0
dia 11 - Soja Heterodera Vaso 6,11,6,6764,13740,482,3091,19988,12677,0
dia 11 - Soja Heterodera Vaso 6,11,6,6743,13588,479,3088,19999,12675,0
dia 11 - Soja Heterodera Vaso 6,11,6,6750,13646,480,3088,20008,12675,0
dia 11 - Soja Heterodera Vaso 6,11,6,6750,13515,481,3089,20020,12674,0
dia 11 - Soja Heterodera Vaso 6,11,6,6744,13573,478,3089,20060,12673,0
dia 11 - Soja Heterodera Vaso 6,11,6,6753,13695,480,3091,19998,12667,0
dia 11 - Soja Heterodera Vaso 6,11,6,6764,13708,480,3089,19982,12671,0
dia 11 - Soja Heterodera Vaso 6,11,6,6777,13821,482,3092,19956,12671,0
dia 11 - Soja Heterodera Vaso 6,11,6,6777,13775,482,3093,20003,12669,0
dia 11 - Soja Heterodera Vaso 6,11,6,6775,13760,480,3090,19977,12669,0
